index,Drug_Name,Reason,Description,Side_Effects
40,Acnorm Lotion 180ml,Acne,"It is used to treat acne vulgaris in people 12 years of age and older. Acne vulgaris is a condition in which the skin has blackheads, white heads and pimple","Vomiting, Stomach pain, Nausea"
41,Acnovate Gel 15gm,Acne,treat the most severe form of acne (nodular acne)Â ,"Nausea, Dry mouth, Dizziness"
42,Acnovate Trio Gel 15gm,Acne,treat the most severe form of acne (nodular acne)Â ,"Stomach pain, Rash, Fatigue"
43,Acutret 10mg Capsule 10'SAcutret 30mg Capsule 10'SAcutret 20mg Capsule 10'SAcutret 5mg Capsule 10'S,Acne,treat the most severe form of acne (nodular acne)Â ,"Drowsiness, Rash, Dizziness"
44,Aczit 10mg Softgel 10'S,Acne,Â treat acne vulgarisÂ ,"Dry mouth, Drowsiness, Rash"
45,Adabor Gel 15gm,Acne,Â treat acne vulgarisÂ ,"Vomiting, Fatigue, Drowsiness"
46,Adacin Gel 15gm,Acne,Â treat mild to moderate acne(spots),"Headache, Fatigue, Vomiting"
47,Adaclene Gel 15gm,Acne,treatment of dry scaly skin disorders of the scalp,"Fatigue, Dry mouth, Diarrhea"
48,Adaferin Gel 15gm,Acne,combined with anti-acne actives of both natural and synthetic origin,"Nausea, Dry mouth, Stomach pain"
49,Adalene Nano Gel 15mg,Acne,"Â gives smooth, soft, supple and fresh feeling to the skin","Dry mouth, Headache, Fatigue"
50,Adapen Gel 15gm,Acne,"It helps to reduce swelling. It can help reduce tenderness and pain when applied on a red, swollen pimple.","Diarrhea, Fatigue, Nausea"
51,Adaple Gel 15gmAdaple C Gel 15gm,Acne,treatment of dry scaly skin disorders of the scalp,"Dry mouth, Headache, Fatigue"
52,Adapnil Gel 15gm,Acne,Mild to moderate acne (spots),"Drowsiness, Vomiting, Dry mouth"
53,Adiff Aqueous Gel 15gm,Acne,A RET 0.025% is a prescription medicine that is used to reduce fine wrinkles,"Drowsiness, Dry mouth, Headache"
54,Adistar Gel 15gm,Acne,"It is used to treat acne vulgaris in people 12 years of age and older. Acne vulgaris is a condition in which the skin has blackheads, white heads and pimple","Fatigue, Stomach pain, Nausea"
55,Adistarc Gel 10gm,Acne,"It is used to treat acne vulgaris in people 12 years of age and older. Acne vulgaris is a condition in which the skin has blackheads, white heads and pimple","Nausea, Stomach pain, Drowsiness"
56,Adit 0.05% Cream 20gmAdit 0.025% Cream 20gm,Acne,treat the most severe form of acne (nodular acne)Â ,"Nausea, Dry mouth, Dizziness"
57,Adlene Gel 15gm,Acne,treat the most severe form of acne (nodular acne)Â ,"Vomiting, Fatigue, Dry mouth"
58,Admark Gel 15gm,Acne,treat the most severe form of acne (nodular acne)Â ,"Stomach pain, Diarrhea, Drowsiness"
59,Ahaglow Acne Control Moisturizing Gel 50gm,Acne,Â treat acne vulgarisÂ ,"Vomiting, Headache, Diarrhea"
60,Airet 0.50% Cream 15gmAiret 0.10% Cream 15gm,Acne,Â treat acne vulgarisÂ ,"Drowsiness, Vomiting, Fatigue"
61,Airol Cream 20gmAirol 0.03% Cream 20gmAirol 0.05% Cream 20gm,Acne,Â treat mild to moderate acne(spots),"Rash, Nausea, Drowsiness"
62,Aknaybar Bathing Bar 100gm,Acne,treatment of dry scaly skin disorders of the scalp,"Diarrhea, Vomiting, Dry mouth"
63,Akneroxid 10% Gel 20gm,Acne,combined with anti-acne actives of both natural and synthetic origin,"Stomach pain, Diarrhea, Dizziness"
64,ALAN Gel 15gm,Acne,treatment of dry scaly skin disorders of the scalp,"Stomach pain, Fatigue, Rash"
65,Alene Gel 15gm,Acne,Mild to moderate acne (spots),"Dry mouth, Drowsiness, Fatigue"
66,Alesa 2.5% Gel 1gmAlesa 5% Gel 1gm,Acne,A RET 0.025% is a prescription medicine that is used to reduce fine wrinkles,"Dizziness, Dry mouth, Headache"
67,Alight Gel 15gm,Acne,"It is used to treat acne vulgaris in people 12 years of age and older. Acne vulgaris is a condition in which the skin has blackheads, white heads and pimple","Rash, Drowsiness, Headache"
68,Alight Plus Gel 15gm,Acne,"It is used to treat acne vulgaris in people 12 years of age and older. Acne vulgaris is a condition in which the skin has blackheads, white heads and pimple","Drowsiness, Vomiting, Dizziness"
69,Alite Cream 15gmAlite Soap 75gm,Acne,treat the most severe form of acne (nodular acne)Â ,"Dizziness, Headache, Stomach pain"
70,Alite Plus Gel 15gm,Acne,treat the most severe form of acne (nodular acne)Â ,"Vomiting, Nausea, Rash"
71,Allyte 1% Gel 20gm,Acne,treat the most severe form of acne (nodular acne)Â ,"Fatigue, Dizziness, Headache"
72,Alonurish Anti Acne Foaming Face Wash 60ml,Acne,Â treat acne vulgarisÂ ,"Vomiting, Drowsiness, Stomach pain"
73,Amypure Tablet 90'SAmypure Tablet 100'S,Acne,Â treat acne vulgarisÂ ,"Stomach pain, Diarrhea, Headache"
74,AP Gel 10gm,Acne,Â treat mild to moderate acne(spots),"Drowsiness, Stomach pain, Rash"
75,Apalene C Gel 15gm,Acne,treatment of dry scaly skin disorders of the scalp,"Rash, Dry mouth, Nausea"
76,Athoderm 1% Gel 15gm,Acne,combined with anti-acne actives of both natural and synthetic origin,"Fatigue, Dizziness, Drowsiness"
77,Atranza 10mg Capsule 100'S,Acne,treatment of dry scaly skin disorders of the scalp,"Rash, Dizziness, Stomach pain"
78,Atret 0.5% Cream 30gmATRET 0.025% Cream 30gm,Acne,Mild to moderate acne (spots),"Dizziness, Dry mouth, Vomiting"
79,Azac Cream 15gmAzac Soap 75gm,Acne,A RET 0.025% is a prescription medicine that is used to reduce fine wrinkles,"Rash, Dry mouth, Nausea"
80,Azecne 20% Cream 15gmAzecne 10% Cream 15gm,Acne,"It is used to treat acne vulgaris in people 12 years of age and older. Acne vulgaris is a condition in which the skin has blackheads, white heads and pimple","Vomiting, Drowsiness, Dizziness"
81,Aziderm 10% Cream 15gmAziderm 20% Gel 15gmAziderm 10% Gel 15gmAziderm 20% Cream 15gmAziderm 15% Gel 15gm,Acne,"It is used to treat acne vulgaris in people 12 years of age and older. Acne vulgaris is a condition in which the skin has blackheads, white heads and pimple","Dizziness, Drowsiness, Stomach pain"
82,Azobril 15% Cream 20gm,Acne,treat the most severe form of acne (nodular acne)Â ,"Fatigue, Rash, Vomiting"
83,Baclytic Gel 15gm,Acne,treat the most severe form of acne (nodular acne)Â ,"Dizziness, Stomach pain, Rash"
84,Bdiff A Gel 15gm,Acne,treat the most severe form of acne (nodular acne)Â ,"Stomach pain, Dry mouth, Diarrhea"
85,Bende Gel(Topical) 20gmBende Gel(Topical) 30gm,Acne,Â treat acne vulgarisÂ ,"Headache, Drowsiness, Rash"
86,Bengel 5% Gel 30gmBengel AC 5% Gel 30gmBengel 2.5% Gel 30gm,Acne,Â treat acne vulgarisÂ ,"Stomach pain, Nausea, Diarrhea"
87,Bengel AC 2.5% Gel 30gm,Acne,Â treat mild to moderate acne(spots),"Fatigue, Diarrhea, Drowsiness"
88,Bengel Acra 2.5% Gel 30gm,Acne,treatment of dry scaly skin disorders of the scalp,"Dry mouth, Drowsiness, Headache"
89,Benzac AC 2.5% Gel 20gm,Acne,combined with anti-acne actives of both natural and synthetic origin,"Dizziness, Fatigue, Dry mouth"
90,Benzac AC 5% Gel 20gm,Acne,"Â gives smooth, soft, supple and fresh feeling to the skin","Vomiting, Fatigue, Nausea"
91,Benzer 5% Gel 20gmBenzer 2.5% Gel 20gm,Acne,"It helps to reduce swelling. It can help reduce tenderness and pain when applied on a red, swollen pimple.","Drowsiness, Headache, Dizziness"
92,Benzonext 5% Gel 20gmBenzonext Gel 20gm,Acne,treatment of dry scaly skin disorders of the scalp,"Drowsiness, Fatigue, Stomach pain"
93,Benzonix 1.25% Soap 75gmBenzonix 2.5% Soap 75gmBenzonix Gel 20gm,Acne,Mild to moderate acne (spots),"Fatigue, Drowsiness, Vomiting"
94,Benzox AC 5% Gel 20gm,Acne,A RET 0.025% is a prescription medicine that is used to reduce fine wrinkles,"Stomach pain, Diarrhea, Vomiting"
95,Blokage Gel 15gm,Acne,"It is used to treat acne vulgaris in people 12 years of age and older. Acne vulgaris is a condition in which the skin has blackheads, white heads and pimple","Headache, Diarrhea, Drowsiness"
96,Botanica 3D Serum 30ml,Acne,"It is used to treat acne vulgaris in people 12 years of age and older. Acne vulgaris is a condition in which the skin has blackheads, white heads and pimple","Drowsiness, Stomach pain, Rash"
97,Brevoxyl Cream 20gm,Acne,treat the most severe form of acne (nodular acne)Â ,"Drowsiness, Fatigue, Dizziness"
98,Brevoxyl Creamy Wash Lotion 50gm,Acne,treat the most severe form of acne (nodular acne)Â ,"Headache, Vomiting, Stomach pain"
99,Brite Opti Cream 10gm,Acne,treat the most severe form of acne (nodular acne)Â ,"Fatigue, Diarrhea, Nausea"
100,Calosoft Plus Cream 30gm,Acne,Â treat acne vulgarisÂ ,"Fatigue, Dry mouth, Nausea"
101,Camyda 300mg Capsule 10'SCamyda 1% Gel 10gm,Acne,Â treat acne vulgarisÂ ,"Rash, Diarrhea, Nausea"
102,Canvaz Gel(Topical) 15gm,Acne,Â treat mild to moderate acne(spots),"Diarrhea, Stomach pain, Vomiting"
103,Cdiff A Gel 15gm,Acne,treatment of dry scaly skin disorders of the scalp,"Drowsiness, Dizziness, Nausea"
104,Cinason N Gel 20gm,Acne,combined with anti-acne actives of both natural and synthetic origin,"Dry mouth, Rash, Stomach pain"
105,Cleargel Gel 20gm,Acne,treatment of dry scaly skin disorders of the scalp,"Stomach pain, Rash, Dry mouth"
106,Cleargel AP Gel 15gm,Acne,combined with anti-acne actives of both natural and synthetic origin,"Rash, Nausea, Dizziness"
107,Clearliv Capsule 60'S,Acne,"Â gives smooth, soft, supple and fresh feeling to the skin","Dizziness, Stomach pain, Dry mouth"
108,CLENCHIN Gel(Topical) 20gm,Acne,"It helps to reduce swelling. It can help reduce tenderness and pain when applied on a red, swollen pimple.","Dizziness, Vomiting, Diarrhea"
109,CLENCHIN Z Cream 10gm,Acne,Mild to moderate acne (spots),"Nausea, Fatigue, Stomach pain"
110,Cliac Gel 15gm,Acne,A RET 0.025% is a prescription medicine that is used to reduce fine wrinkles,"Dry mouth, Headache, Dizziness"
111,Click Gel 20gm,Acne,"It is used to treat acne vulgaris in people 12 years of age and older. Acne vulgaris is a condition in which the skin has blackheads, white heads and pimple","Nausea, Rash, Stomach pain"
112,Clid 1% Gel 20gmClid Gel 30gm,Acne,"It is used to treat acne vulgaris in people 12 years of age and older. Acne vulgaris is a condition in which the skin has blackheads, white heads and pimple","Fatigue, Rash, Headache"
113,Cliface Gel 20gm,Acne,treat the most severe form of acne (nodular acne)Â ,"Fatigue, Stomach pain, Diarrhea"
114,Cliface A Gel 15gm,Acne,treat the most severe form of acne (nodular acne)Â ,"Nausea, Vomiting, Headache"
115,Cligel N Gel 20gmCligel Gel 15gm,Acne,treat the most severe form of acne (nodular acne)Â ,"Diarrhea, Rash, Dizziness"
116,Cligel A Gel 15gm,Acne,Â treat acne vulgarisÂ ,"Headache, Drowsiness, Fatigue"
117,Cligel T Gel 15gm,Acne,Â treat acne vulgarisÂ ,"Diarrhea, Dizziness, Fatigue"
118,Climple 1% Gel 15gm,Acne,Â treat mild to moderate acne(spots),"Stomach pain, Rash, Fatigue"
119,Climple A Cream 15gm,Acne,treatment of dry scaly skin disorders of the scalp,"Nausea, Vomiting, Dry mouth"
120,Clin 1% Gel 10gmClin Tablet 10's,Acne,Mild to moderate acne (spots),"Headache, Vomiting, Nausea"
121,Clin 3 Gel 15gm,Acne,A RET 0.025% is a prescription medicine that is used to reduce fine wrinkles,"Diarrhea, Vomiting, Dry mouth"
122,Clin AD Gel 15gm,Acne,"It is used to treat acne vulgaris in people 12 years of age and older. Acne vulgaris is a condition in which the skin has blackheads, white heads and pimple","Drowsiness, Dry mouth, Stomach pain"
123,Clinadd Gel 15gm,Acne,"It is used to treat acne vulgaris in people 12 years of age and older. Acne vulgaris is a condition in which the skin has blackheads, white heads and pimple","Vomiting, Nausea, Diarrhea"
124,Clinapil 1% Gel 10gm,Acne,treat the most severe form of acne (nodular acne)Â ,"Stomach pain, Vomiting, Drowsiness"
125,Clincent 1% Gel 20gm,Acne,treat the most severe form of acne (nodular acne)Â ,"Rash, Stomach pain, Diarrhea"
126,Clincent A Gel 15gm,Acne,treat the most severe form of acne (nodular acne)Â ,"Headache, Dry mouth, Stomach pain"
127,Clincin Gel 20gmCLINCIN Gel 10gm,Acne,Â treat acne vulgarisÂ ,"Dizziness, Rash, Nausea"
128,Clincin N GE Gel 20gm,Acne,Â treat acne vulgarisÂ ,"Rash, Nausea, Fatigue"
129,Clincitop Gel 20gmClincitop Gel(Topical) 15gm,Acne,Â treat mild to moderate acne(spots),"Diarrhea, Rash, Stomach pain"
130,Clinda 1% Gel 10gm,Acne,treatment of dry scaly skin disorders of the scalp,"Vomiting, Headache, Rash"
131,Clindac A Foaming Facewash 50ml,Acne,combined with anti-acne actives of both natural and synthetic origin,"Fatigue, Rash, Nausea"
132,Clindac A Solution 25mlCLINDAC A 1% Gel 20gmClindac A Gel 15gm,Acne,"Â gives smooth, soft, supple and fresh feeling to the skin","Dizziness, Stomach pain, Drowsiness"
133,Clindakem A Gel 20gm,Acne,"It helps to reduce swelling. It can help reduce tenderness and pain when applied on a red, swollen pimple.","Diarrhea, Vomiting, Dizziness"
134,Clindap Gel 20gm,Acne,treatment of dry scaly skin disorders of the scalp,"Drowsiness, Rash, Vomiting"
135,Clindapene Gel 15gm,Acne,Mild to moderate acne (spots),"Fatigue, Headache, Drowsiness"
136,Clindasure 300mg Capsule 10'SClindasure 150mg Capsule 10'S,Acne,A RET 0.025% is a prescription medicine that is used to reduce fine wrinkles,"Diarrhea, Dizziness, Stomach pain"
137,Clindoxyl Gel 15gmClindoxyl Gel 10gm,Acne,"It is used to treat acne vulgaris in people 12 years of age and older. Acne vulgaris is a condition in which the skin has blackheads, white heads and pimple","Rash, Headache, Diarrhea"
138,Clinet Gel 20gm,Acne,"It is used to treat acne vulgaris in people 12 years of age and older. Acne vulgaris is a condition in which the skin has blackheads, white heads and pimple","Rash, Dizziness, Dry mouth"
139,Clingard Gel 15gm,Acne,treat the most severe form of acne (nodular acne)Â ,"Rash, Stomach pain, Headache"
140,Clinka Gel 20gm,Acne,treat the most severe form of acne (nodular acne)Â ,"Diarrhea, Headache, Dizziness"
141,Clinka N Gel 10gm,Acne,treat the most severe form of acne (nodular acne)Â ,"Fatigue, Headache, Rash"
142,CLINKRICK Gel 10gm,Acne,Â treat acne vulgarisÂ ,"Vomiting, Stomach pain, Dizziness"
143,Clinlup 1% Gel 10gm,Acne,Â treat acne vulgarisÂ ,"Dry mouth, Diarrhea, Rash"
144,Clinmax A Gel 30gmClinmax Gel 20gm,Acne,Â treat mild to moderate acne(spots),"Fatigue, Stomach pain, Nausea"
145,Clinmiface A Gel 15gm,Acne,treatment of dry scaly skin disorders of the scalp,"Dry mouth, Vomiting, Stomach pain"
146,Clinopak 300Mg Tablet 10'sClinopak Gel 20gmClinopak 150Mg Tablet 10's,Acne,combined with anti-acne actives of both natural and synthetic origin,"Dizziness, Stomach pain, Diarrhea"
147,Clinoxid 15% Gel 15gmClinoxid 1% Gel 15gmClinoxid 1/2.5 Cream 15gm,Acne,treatment of dry scaly skin disorders of the scalp,"Nausea, Dry mouth, Vomiting"
148,Clinxa Gel 20gm,Acne,Mild to moderate acne (spots),"Stomach pain, Drowsiness, Vomiting"
149,Clinxa A Gel 20gm,Acne,A RET 0.025% is a prescription medicine that is used to reduce fine wrinkles,"Headache, Vomiting, Rash"
150,Comedolytic Cream 20gm,Acne,"It is used to treat acne vulgaris in people 12 years of age and older. Acne vulgaris is a condition in which the skin has blackheads, white heads and pimple","Fatigue, Headache, Stomach pain"
151,Cortina H Cream 15gm,Acne,"It is used to treat acne vulgaris in people 12 years of age and older. Acne vulgaris is a condition in which the skin has blackheads, white heads and pimple","Headache, Rash, Diarrhea"
152,Cosmoderm Kit 1'S,Acne,treat the most severe form of acne (nodular acne)Â ,"Dry mouth, Diarrhea, Headache"
153,Cospeel Shampoo 50ml,Acne,treat the most severe form of acne (nodular acne)Â ,"Drowsiness, Rash, Stomach pain"
154,Crixan Gel 15gm,Acne,treat the most severe form of acne (nodular acne)Â ,"Nausea, Dry mouth, Vomiting"
155,D Acne Soap 75gmD Acne Gel 10gm,Acne,Â treat acne vulgarisÂ ,"Vomiting, Headache, Drowsiness"
156,D Acne I 20mg Capsule 10'SD Acne I 10mg Capsule 10'S,Acne,Â treat acne vulgarisÂ ,"Stomach pain, Rash, Vomiting"
157,D Acne Plus Gel 15gm,Acne,Â treat mild to moderate acne(spots),"Nausea, Stomach pain, Fatigue"
158,Dalcihit 300Mg Capsule 10's,Acne,treatment of dry scaly skin disorders of the scalp,"Fatigue, Vomiting, Diarrhea"
159,Decdan Lite Cream 20gm,Acne,combined with anti-acne actives of both natural and synthetic origin,"Rash, Vomiting, Headache"
160,Decroma 6% Cream 30gm,Acne,treatment of dry scaly skin disorders of the scalp,"Rash, Nausea, Drowsiness"
161,Depiglare Cream 15gm,Acne,Mild to moderate acne (spots),"Fatigue, Drowsiness, Diarrhea"
162,Deriva Aqueous Gel 15gm,Acne,A RET 0.025% is a prescription medicine that is used to reduce fine wrinkles,"Headache, Dizziness, Vomiting"
163,Deriva Bpo Gel 15gm,Acne,"It is used to treat acne vulgaris in people 12 years of age and older. Acne vulgaris is a condition in which the skin has blackheads, white heads and pimple","Fatigue, Diarrhea, Vomiting"
164,Deriva Cms Gel 15gm,Acne,"It is used to treat acne vulgaris in people 12 years of age and older. Acne vulgaris is a condition in which the skin has blackheads, white heads and pimple","Fatigue, Stomach pain, Headache"
165,Deriva MS Gel 15gm,Acne,treat the most severe form of acne (nodular acne)Â ,"Headache, Stomach pain, Drowsiness"
166,Derlin Gel 10gm,Acne,treat the most severe form of acne (nodular acne)Â ,"Stomach pain, Dry mouth, Vomiting"
167,DERMADEW B Bar 75gm,Acne,treat the most severe form of acne (nodular acne)Â ,"Dizziness, Rash, Dry mouth"
168,Dersol BH Ointment 30gm,Acne,Â treat acne vulgarisÂ ,"Nausea, Stomach pain, Vomiting"
169,Doxt SL 100mg/5B Tablet 8'S,Acne,Â treat acne vulgarisÂ ,"Fatigue, Diarrhea, Rash"
170,DS ACNE Face Wash 100gm,Acne,Â treat mild to moderate acne(spots),"Dizziness, Dry mouth, Fatigue"
171,EGA Night Cream 30gm,Acne,treatment of dry scaly skin disorders of the scalp,"Drowsiness, Diarrhea, Rash"
172,Elosone HT Cream 15gm,Acne,combined with anti-acne actives of both natural and synthetic origin,"Stomach pain, Headache, Diarrhea"
173,Emolene Cream 100gm,Acne,"Â gives smooth, soft, supple and fresh feeling to the skin","Stomach pain, Fatigue, Dizziness"
174,ENCLINA Gel(Topical) 20gm,Acne,"It helps to reduce swelling. It can help reduce tenderness and pain when applied on a red, swollen pimple.","Headache, Drowsiness, Vomiting"
175,ENCLINA ADP Gel(Topical) 20gm,Acne,treatment of dry scaly skin disorders of the scalp,"Stomach pain, Vomiting, Nausea"
176,Enshine Ointment 15gm,Acne,Mild to moderate acne (spots),"Headache, Dizziness, Dry mouth"
177,Entice Acne Bar 75gm,Acne,A RET 0.025% is a prescription medicine that is used to reduce fine wrinkles,"Nausea, Dizziness, Rash"
178,Entice Natura Soap 75gm,Acne,"It is used to treat acne vulgaris in people 12 years of age and older. Acne vulgaris is a condition in which the skin has blackheads, white heads and pimple","Vomiting, Drowsiness, Dizziness"
179,Epiduo Gel 30gmEpiduo Gel 15gm,Acne,"It is used to treat acne vulgaris in people 12 years of age and older. Acne vulgaris is a condition in which the skin has blackheads, white heads and pimple","Nausea, Headache, Rash"
180,Erytop Lotion 25mlErytop Gel 20gm,Acne,treat the most severe form of acne (nodular acne)Â ,"Stomach pain, Diarrhea, Rash"
181,Erytop A Gel 15gm,Acne,treat the most severe form of acne (nodular acne)Â ,"Rash, Nausea, Diarrhea"
182,Ethitret 20mg Capsule 10'SEthitret 10mg Capsule 10'S,Acne,treat the most severe form of acne (nodular acne)Â ,"Stomach pain, Dizziness, Dry mouth"
183,Eudyna 0.05% Cream 20gm,Acne,Â treat acne vulgarisÂ ,"Diarrhea, Drowsiness, Vomiting"
184,Eunozit 10mg Capsule 10'S,Acne,Â treat acne vulgarisÂ ,"Stomach pain, Vomiting, Diarrhea"
185,Exazel 15% Cream 15gmExazel 10% Cream 15gmExazel Cream 10gmExazel 20% Cream 15gm,Acne,Â treat mild to moderate acne(spots),"Dry mouth, Stomach pain, Headache"
186,Exazel N Cream 15gm,Acne,treatment of dry scaly skin disorders of the scalp,"Diarrhea, Fatigue, Headache"
187,Excela Cream 50gm,Acne,combined with anti-acne actives of both natural and synthetic origin,"Drowsiness, Vomiting, Nausea"
188,EXCEX Gel 15gm,Acne,treatment of dry scaly skin disorders of the scalp,"Fatigue, Diarrhea, Vomiting"
189,Exel Cream 16Gm,Acne,combined with anti-acne actives of both natural and synthetic origin,"Dry mouth, Dizziness, Fatigue"
190,Ezanic 10% Gel 15gmEzanic 10% Cream 15gmEzanic 20% Gel 15gmEzanic 20% Cream 15gm,Acne,"Â gives smooth, soft, supple and fresh feeling to the skin","Diarrhea, Headache, Rash"
191,Fabeau Soap 1'S,Acne,"It helps to reduce swelling. It can help reduce tenderness and pain when applied on a red, swollen pimple.","Fatigue, Stomach pain, Nausea"
192,Facebenz A Gel 15gm,Acne,Mild to moderate acne (spots),"Dry mouth, Nausea, Fatigue"
193,Faceclin Gel 20gm,Acne,A RET 0.025% is a prescription medicine that is used to reduce fine wrinkles,"Drowsiness, Dry mouth, Nausea"
194,Faceclin A Gel 15gm,Acne,"It is used to treat acne vulgaris in people 12 years of age and older. Acne vulgaris is a condition in which the skin has blackheads, white heads and pimple","Diarrhea, Vomiting, Headache"
195,Faceclin AT Gel 15gm,Acne,"It is used to treat acne vulgaris in people 12 years of age and older. Acne vulgaris is a condition in which the skin has blackheads, white heads and pimple","Rash, Dizziness, Fatigue"
